"Catalog Mode Configuration","Catalog Mode Configuration"
"Catalog Mode","Catalog Mode"
"General","General"
"Catalog Mode enabled","Catalog Mode enabled"
"If enabled, the customers will only be able to browse your inventory, without purchasing","If enabled, the customers will only be able to browse your inventory, without purchasing"
